expt_name,replicationFlag,subjectID,order,age,iswoman,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,53.000000,10.000000,2.000000,38.125000,19.125000,42.000000,30.000000,29.000000,3.000000,24.000000,26.000000,26.000000,43.000000,11.000000,41.000000,1.000000,1.000000,2.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.251611,0.251611,0.108518,0.158670,0.151007,0.175541
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,54.000000,5.000000,2.000000,54.666667,53.333333,55.000000,56.000000,45.000000,48.000000,60.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.197669,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,55.000000,10.000000,2.000000,53.375000,61.750000,48.000000,54.000000,69.000000,40.000000,55.000000,53.000000,58.000000,53.000000,62.000000,47.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,1.000000,NaN,NaN,NaN,NaN,0.332640,0.332640,0.166591,0.176606,0.075234,0.107544
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,56.000000,5.000000,3.000000,38.000000,56.250000,59.000000,58.000000,51.000000,37.000000,57.000000,NaN,NaN,NaN,NaN,NaN,2.000000,2.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.207609,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,57.000000,5.000000,2.000000,59.666667,48.000000,48.000000,60.000000,49.000000,63.000000,47.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.123553,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,58.000000,10.000000,2.000000,40.250000,37.500000,45.000000,19.000000,42.000000,52.000000,33.000000,41.000000,41.000000,36.000000,43.000000,44.000000,2.000000,2.000000,1.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.284265,0.284265,0.165317,0.067071,0.057889,0.350208
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,59.000000,5.000000,3.000000,61.500000,36.750000,38.000000,29.000000,33.000000,52.000000,71.000000,NaN,NaN,NaN,NaN,NaN,2.000000,2.000000,2.000000,1.000000,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.250276,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,60.000000,10.000000,2.000000,61.125000,46.125000,74.000000,43.000000,55.000000,59.000000,55.000000,46.000000,55.000000,43.000000,66.000000,51.000000,1.000000,2.000000,2.000000,1.000000,1.000000,2.000000,1.000000,2.000000,1.000000,2.000000,NaN,NaN,NaN,NaN,0.717704,0.717704,0.299975,0.126181,0.117825,0.083438
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,61.000000,5.000000,3.000000,34.500000,33.250000,25.000000,34.000000,43.000000,40.000000,25.000000,NaN,NaN,NaN,NaN,NaN,2.000000,1.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.249806,NaN,NaN,NaN,NaN,NaN
RFPC,1,25.000000,0.000000,20.000000,1.000000,54.000000,62.000000,10.000000,2.000000,62.000000,49.625000,62.000000,45.000000,44.000000,48.000000,47.000000,56.000000,47.000000,62.000000,46.000000,47.000000,1.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,NaN,NaN,NaN,NaN,0.332052,0.332052,0.123961,0.083984,0.176129,0.299748
