subject,age,gender,block,value_option0,value_option1,uncertainty,trial,reward,RT,choice,forced,mask,horizon
1001.0,26,0,40,32,40,1,6,28,0.383798,0,0,0,6
1001.0,26,0,40,32,40,1,7,39,0.216775,1,0,0,6
1001.0,26,0,40,32,40,1,8,40,0.183464,1,0,0,6
1001.0,26,0,40,32,40,1,9,40,0.03462,1,0,0,6
1001.0,26,0,41,40,32,0,0,34,-99.0,1,1,1,6
1001.0,26,0,41,40,32,0,1,38,-99.0,0,1,1,6
1001.0,26,0,41,40,32,0,2,28,-99.0,1,1,1,6
1001.0,26,0,41,40,32,0,3,48,-99.0,0,1,1,6
1001.0,26,0,41,40,32,0,4,44,0.550498,0,0,0,6
1001.0,26,0,41,40,32,0,5,32,0.216733,0,0,0,6
1001.0,26,0,41,40,32,0,6,25,0.100289,1,0,0,6
1001.0,26,0,41,40,32,0,7,42,0.150394,0,0,0,6
1001.0,26,0,41,40,32,0,8,39,0.20039,0,0,0,6
1001.0,26,0,41,40,32,0,9,42,0.167652,0,0,0,6
1001.0,26,0,42,40,36,0,0,50,-99.0,1,1,1,1
1001.0,26,0,42,40,36,0,1,50,-99.0,0,1,1,1
1001.0,26,0,42,40,36,0,2,34,-99.0,0,1,1,1
1001.0,26,0,42,40,36,0,3,36,-99.0,1,1,1,1
1001.0,26,0,42,40,36,0,4,47,0.233884,1,0,0,1
1001.0,26,0,43,40,28,0,0,33,-99.0,1,1,1,1
1001.0,26,0,43,40,28,0,1,53,-99.0,0,1,1,1
1001.0,26,0,43,40,28,0,2,32,-99.0,0,1,1,1
1001.0,26,0,43,40,28,0,3,32,-99.0,1,1,1,1
1001.0,26,0,43,40,28,0,4,41,1.200026,0,0,0,1
1001.0,26,0,44,60,56,1,0,57,-99.0,1,1,1,6
1001.0,26,0,44,60,56,1,1,60,-99.0,1,1,1,6
1001.0,26,0,44,60,56,1,2,47,-99.0,0,1,1,6
1001.0,26,0,44,60,56,1,3,50,-99.0,1,1,1,6
1001.0,26,0,44,60,56,1,4,50,0.300361,1,0,0,6
1001.0,26,0,44,60,56,1,5,63,0.816892,1,0,0,6
1001.0,26,0,44,60,56,1,6,58,0.266764,1,0,0,6
1001.0,26,0,44,60,56,1,7,54,0.383939,1,0,0,6
1001.0,26,0,44,60,56,1,8,55,0.333754,1,0,0,6
1001.0,26,0,44,60,56,1,9,51,0.200909,1,0,0,6
1001.0,26,0,45,40,28,0,0,30,-99.0,1,1,1,6
1001.0,26,0,45,40,28,0,1,30,-99.0,1,1,1,6
1001.0,26,0,45,40,28,0,2,39,-99.0,0,1,1,6
1001.0,26,0,45,40,28,0,3,33,-99.0,0,1,1,6
1001.0,26,0,45,40,28,0,4,32,0.33355,0,0,0,6
1001.0,26,0,45,40,28,0,5,31,0.100501,1,0,0,6
1001.0,26,0,45,40,28,0,6,39,0.050316,0,0,0,6
1001.0,26,0,45,40,28,0,7,33,0.500421,1,0,0,6
1001.0,26,0,45,40,28,0,8,48,0.100335,0,0,0,6
1001.0,26,0,45,40,28,0,9,46,0.133863,0,0,0,6
1001.0,26,0,46,40,20,0,0,41,-99.0,0,1,1,6
1001.0,26,0,46,40,20,0,1,21,-99.0,1,1,1,6
1001.0,26,0,46,40,20,0,2,39,-99.0,0,1,1,6
1001.0,26,0,46,40,20,0,3,18,-99.0,1,1,1,6
1001.0,26,0,46,40,20,0,4,38,0.31705,0,0,0,6
1001.0,26,0,46,40,20,0,5,10,0.28381,1,0,0,6
1001.0,26,0,46,40,20,0,6,41,0.167404,0,0,0,6
1001.0,26,0,46,40,20,0,7,34,0.167381,0,0,0,6
1001.0,26,0,46,40,20,0,8,33,0.550493,0,0,0,6
1001.0,26,0,46,40,20,0,9,50,0.250445,0,0,0,6
1001.0,26,0,47,40,20,0,0,39,-99.0,0,1,1,6
1001.0,26,0,47,40,20,0,1,15,-99.0,1,1,1,6
1001.0,26,0,47,40,20,0,2,35,-99.0,0,1,1,6
1001.0,26,0,47,40,20,0,3,25,-99.0,1,1,1,6
1001.0,26,0,47,40,20,0,4,42,0.234395,0,0,0,6
1001.0,26,0,47,40,20,0,5,36,0.300434,0,0,0,6
1001.0,26,0,47,40,20,0,6,50,0.350513,0,0,0,6
1001.0,26,0,47,40,20,0,7,47,0.534538,0,0,0,6
1001.0,26,0,47,40,20,0,8,43,0.533992,0,0,0,6
1001.0,26,0,47,40,20,0,9,29,0.200568,0,0,0,6
1001.0,26,0,48,48,60,0,0,57,-99.0,1,1,1,6
1001.0,26,0,48,48,60,0,1,34,-99.0,0,1,1,6
1001.0,26,0,48,48,60,0,2,65,-99.0,1,1,1,6
1001.0,26,0,48,48,60,0,3,55,-99.0,0,1,1,6
1001.0,26,0,48,48,60,0,4,49,0.583534,0,0,0,6
1001.0,26,0,48,48,60,0,5,50,0.650418,1,0,0,6
1001.0,26,0,48,48,60,0,6,55,0.234074,0,0,0,6
1001.0,26,0,48,48,60,0,7,60,0.200074,1,0,0,6
1001.0,26,0,48,48,60,0,8,66,0.200096,1,0,0,6
1001.0,26,0,48,48,60,0,9,56,0.200924,1,0,0,6
1001.0,26,0,49,20,40,1,0,35,-99.0,1,1,1,1
1001.0,26,0,49,20,40,1,1,43,-99.0,1,1,1,1
1001.0,26,0,49,20,40,1,2,10,-99.0,0,1,1,1
1001.0,26,0,49,20,40,1,3,50,-99.0,1,1,1,1
1001.0,26,0,49,20,40,1,4,22,0.266901,0,0,0,1
1001.0,26,0,50,40,28,0,0,31,-99.0,1,1,1,6
1001.0,26,0,50,40,28,0,1,38,-99.0,0,1,1,6
1001.0,26,0,50,40,28,0,2,31,-99.0,0,1,1,6
1001.0,26,0,50,40,28,0,3,27,-99.0,1,1,1,6
1001.0,26,0,50,40,28,0,4,43,0.283404,0,0,0,6
